Cell ID,EPCAM
DTC2_557519,2.02
DTC2_153692,2.79
DTC2_584129,0.27
DTC2_299364,1.45
DTC2_278977,3.22
DTC2_668332,4.88
DTC2_417469,2.67
DTC2_861298,2.22
DTC2_525408,2.32
DTC2_294118,1.67
DTC2_269234,1.27
DTC2_75893,3.95
DTC2_271881,0.25
DTC2_783137,4.09
DTC2_792624,1.61
DTC2_854694,0.99
DTC2_571311,1.71
DTC2_707330,0.33
DTC2_589576,1.26
DTC2_446114,4.48
DTC2_123277,0
DTC2_629285,1.73
DTC2_719527,2.38
DTC2_431662,0
DTC2_153709,1.06
DTC2_191652,1.37
DTC2_88861,2.49
DTC2_97786,0
DTC2_200537,2.81
DTC2_365632,1.97
DTC2_184696,2.26
DTC2_831263,2.77
DTC2_424091,2.63
DTC2_591922,1.69
DTC2_607115,3.05
DTC2_313927,1.31
DTC2_643574,1.12
DTC2_164744,0
DTC2_818251,0
DTC2_816852,2.14
DTC2_69089,3.64
DTC2_789210,2.51
DTC2_472336,0.66
DTC2_878092,2.2
DTC2_516388,2.14
DTC2_76197,0
DTC2_496715,1.57
DTC2_246249,1.14
DTC2_445972,2.33
DTC2_567533,1.36
DTC2_269487,3.59
DTC2_144255,1.43
DTC2_400905,3.16
DTC2_703766,3.21
DTC2_669877,3.67
DTC2_512197,1.1
DTC2_655598,1.42
DTC2_779197,3.23
DTC2_397088,1.45
DTC2_172904,2.61
DTC2_526943,1.67
DTC2_348943,1.44
DTC2_781327,0
DTC2_174662,1.92
DTC2_862856,2.64
DTC2_884692,1.43
DTC2_788782,0
DTC2_141857,6.84
DTC2_487205,1.64
DTC2_472712,0
DTC2_299746,0
DTC2_249045,0
DTC2_615265,2.67
DTC2_523939,3.78
DTC2_134212,0
DTC2_738615,2.81
DTC2_14716,1.7
DTC2_535872,2.75
DTC2_673803,2.14
DTC2_836206,1.81
DTC2_380141,1.32
DTC2_300661,2.4
DTC2_471638,1.87
DTC2_773276,2.36
DTC2_625499,1.75
DTC2_373894,1.61
DTC2_732526,2.87
DTC2_438878,1.66
DTC2_318110,1.15
DTC2_317192,1.34
DTC2_225384,2.54
DTC2_780115,8.35
DTC2_414461,3.98
DTC2_32028,4.97
DTC2_430649,1.35
DTC2_779569,2.91
DTC2_687249,3.37
DTC2_800350,1.44
DTC2_430438,0
DTC2_690091,2.76
DTC2_353569,3.99
DTC2_359091,0
DTC2_704221,3.11
DTC2_793242,1.36
DTC2_551292,2.39
DTC2_172008,2.05
DTC2_73872,4.35
DTC2_732234,0
DTC2_657905,2.62
DTC2_647237,0.97
DTC2_462952,0
DTC2_882141,2.12
DTC2_792886,0
DTC2_765876,0.28
DTC2_153420,0
DTC2_347186,0
DTC2_704629,3.22
DTC2_375942,1.99
DTC2_182182,0
DTC2_502139,1.34
DTC2_88746,1.21
DTC2_424711,0
DTC2_493482,2.59
DTC2_113962,2.95
DTC2_279370,2.16
DTC2_565289,1.16
DTC2_486162,0.47
DTC2_10334,2.95
DTC2_525011,0
DTC2_130083,0
DTC2_339991,4.29
DTC2_788504,1.84
DTC2_883920,0.37
DTC2_295740,3.98
DTC2_71108,0.32
DTC2_349800,1.64
DTC2_51301,1.34
DTC2_88819,1.57
DTC2_59502,1.57
DTC2_481405,1
DTC2_768251,0.43
DTC2_7204,2.18
DTC2_805662,0.21
DTC2_585300,1.04
DTC2_360590,3
DTC2_844376,3.43
DTC2_217384,0.61
DTC2_474862,2.88
DTC2_239588,4.63
DTC2_647382,2.26
DTC2_458269,4.28
DTC2_286214,1.74
DTC2_2555,2.88
DTC2_348675,2.61
DTC2_88557,0.24
DTC2_835383,1.74
DTC2_227222,0.81
DTC2_705867,1.19
DTC2_652592,2.74
DTC2_466366,3.4
DTC2_255423,1.59
DTC2_724522,2.61
DTC2_775303,4.28
DTC2_254281,3.59
DTC2_398176,1.52
DTC2_194786,3.15
DTC2_509220,1.77
DTC2_252960,0
